category,title,content
products,Where can I find Lip balm?,You can find Lip balm listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Mafuta ya midomo, mnayo?","Ndiyo, Mafuta ya midomo (Lip balm) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Lip balm?,"The price of Lip balm depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Mafuta ya midomo ni kiasi gani?,"Bei ya Mafuta ya midomo inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Lip balm for bulk orders?,Bulk pricing on Lip balm may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Perfume available in stock?,"Yes, Perfume is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Perfume?,You can find Perfume listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Perfume/Manukato, mnayo?","Ndiyo, Perfume/Manukato (Perfume) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Perfume?,"The price of Perfume depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Perfume/Manukato ni kiasi gani?,"Bei ya Perfume/Manukato inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Perfume for bulk orders?,Bulk pricing on Perfume may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Deodorant available in stock?,"Yes, Deodorant is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Deodorant?,You can find Deodorant listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Deodorant, mnayo?","Ndiyo, Deodorant (Deodorant) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Deodorant?,"The price of Deodorant depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Deodorant ni kiasi gani?,"Bei ya Deodorant inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Deodorant for bulk orders?,Bulk pricing on Deodorant may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Body spray available in stock?,"Yes, Body spray is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Body spray?,You can find Body spray listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Body spray, mnayo?","Ndiyo, Body spray (Body spray) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Body spray?,"The price of Body spray depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Body spray ni kiasi gani?,"Bei ya Body spray inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Body spray for bulk orders?,Bulk pricing on Body spray may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Shower gel available in stock?,"Yes, Shower gel is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Shower gel?,You can find Shower gel listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Shower gel, mnayo?","Ndiyo, Shower gel (Shower gel) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Shower gel?,"The price of Shower gel depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Shower gel ni kiasi gani?,"Bei ya Shower gel inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Shower gel for bulk orders?,Bulk pricing on Shower gel may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Soap available in stock?,"Yes, Soap is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Soap?,You can find Soap listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Sabuni, mnayo?","Ndiyo, Sabuni (Soap) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Soap?,"The price of Soap depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Sabuni ni kiasi gani?,"Bei ya Sabuni inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Soap for bulk orders?,Bulk pricing on Soap may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Toothpaste available in stock?,"Yes, Toothpaste is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Toothpaste?,You can find Toothpaste listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Dawa ya meno, mnayo?","Ndiyo, Dawa ya meno (Toothpaste) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Toothpaste?,"The price of Toothpaste depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Dawa ya meno ni kiasi gani?,"Bei ya Dawa ya meno inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Toothpaste for bulk orders?,Bulk pricing on Toothpaste may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Toothbrush available in stock?,"Yes, Toothbrush is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Toothbrush?,You can find Toothbrush listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Mswwaki, mnayo?","Ndiyo, Mswwaki (Toothbrush) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Toothbrush?,"The price of Toothbrush depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Mswwaki ni kiasi gani?,"Bei ya Mswwaki inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Toothbrush for bulk orders?,Bulk pricing on Toothbrush may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Shampoo available in stock?,"Yes, Shampoo is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Shampoo?,You can find Shampoo listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Shampoo, mnayo?","Ndiyo, Shampoo (Shampoo) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Shampoo?,"The price of Shampoo depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Shampoo ni kiasi gani?,"Bei ya Shampoo inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Shampoo for bulk orders?,Bulk pricing on Shampoo may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Conditioner available in stock?,"Yes, Conditioner is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Conditioner?,You can find Conditioner listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Conditioner, mnayo?","Ndiyo, Conditioner (Conditioner) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Conditioner?,"The price of Conditioner depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Conditioner ni kiasi gani?,"Bei ya Conditioner inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Conditioner for bulk orders?,Bulk pricing on Conditioner may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Hair oil available in stock?,"Yes, Hair oil is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Hair oil?,You can find Hair oil listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Mafuta ya nywele, mnayo?","Ndiyo, Mafuta ya nywele (Hair oil) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Hair oil?,"The price of Hair oil depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Mafuta ya nywele ni kiasi gani?,"Bei ya Mafuta ya nywele inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Hair oil for bulk orders?,Bulk pricing on Hair oil may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Hair food available in stock?,"Yes, Hair food is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Hair food?,You can find Hair food listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Hair food, mnayo?","Ndiyo, Hair food (Hair food) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Hair food?,"The price of Hair food depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Hair food ni kiasi gani?,"Bei ya Hair food inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Hair food for bulk orders?,Bulk pricing on Hair food may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Hair extensions available in stock?,"Yes, Hair extensions is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Hair extensions?,You can find Hair extensions listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Nywele za bandia, mnayo?","Ndiyo, Nywele za bandia (Hair extensions) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Hair extensions?,"The price of Hair extensions depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Nywele za bandia ni kiasi gani?,"Bei ya Nywele za bandia inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Hair extensions for bulk orders?,Bulk pricing on Hair extensions may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Wigs available in stock?,"Yes, Wigs is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Wigs?,You can find Wigs listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Wigi, mnayo?","Ndiyo, Wigi (Wigs) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Wigs?,"The price of Wigs depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Wigi ni kiasi gani?,"Bei ya Wigi inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Wigs for bulk orders?,Bulk pricing on Wigs may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Makeup available in stock?,"Yes, Makeup is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Makeup?,You can find Makeup listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Vipodozi, mnayo?","Ndiyo, Vipodozi (Makeup) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Makeup?,"The price of Makeup depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Vipodozi ni kiasi gani?,"Bei ya Vipodozi inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Makeup for bulk orders?,Bulk pricing on Makeup may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Foundation available in stock?,"Yes, Foundation is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Foundation?,You can find Foundation listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Foundation, mnayo?","Ndiyo, Foundation (Foundation) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Foundation?,"The price of Foundation depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Foundation ni kiasi gani?,"Bei ya Foundation inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Foundation for bulk orders?,Bulk pricing on Foundation may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Lipstick available in stock?,"Yes, Lipstick is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Lipstick?,You can find Lipstick listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Lipstick, mnayo?","Ndiyo, Lipstick (Lipstick) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Lipstick?,"The price of Lipstick depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Lipstick ni kiasi gani?,"Bei ya Lipstick inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Lipstick for bulk orders?,Bulk pricing on Lipstick may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Nail polish available in stock?,"Yes, Nail polish is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Nail polish?,You can find Nail polish listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Rangi ya kucha, mnayo?","Ndiyo, Rangi ya kucha (Nail polish) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Nail polish?,"The price of Nail polish depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Rangi ya kucha ni kiasi gani?,"Bei ya Rangi ya kucha inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Nail polish for bulk orders?,Bulk pricing on Nail polish may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Sanitary pads available in stock?,"Yes, Sanitary pads is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Sanitary pads?,You can find Sanitary pads listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Pedi, mnayo?","Ndiyo, Pedi (Sanitary pads) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Sanitary pads?,"The price of Sanitary pads depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Pedi ni kiasi gani?,"Bei ya Pedi inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Sanitary pads for bulk orders?,Bulk pricing on Sanitary pads may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Baby diapers available in stock?,"Yes, Baby diapers is available under the Personal Care and Beauty category. Availability and exact stock levels may vary by seller."
products,Where can I find Baby diapers?,You can find Baby diapers listed under the Personal Care and Beauty category. Our agent can help you compare sellers and options.
products,"Nahitaji Diapers za watoto, mnayo?","Ndiyo, Diapers za watoto (Baby diapers) inapatikana kwenye category ya Personal Care and Beauty. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Baby diapers?,"The price of Baby diapers depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Diapers za watoto ni kiasi gani?,"Bei ya Diapers za watoto inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Baby diapers for bulk orders?,Bulk pricing on Baby diapers may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Laundry detergent available in stock?,"Yes, Laundry detergent is available under the Household Products category. Availability and exact stock levels may vary by seller."
products,Where can I find Laundry detergent?,You can find Laundry detergent listed under the Household Products category. Our agent can help you compare sellers and options.
products,"Nahitaji Sabuni ya kufulia, mnayo?","Ndiyo, Sabuni ya kufulia (Laundry detergent) inapatikana kwenye category ya Household Products. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Laundry detergent?,"The price of Laundry detergent depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Sabuni ya kufulia ni kiasi gani?,"Bei ya Sabuni ya kufulia inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Laundry detergent for bulk orders?,Bulk pricing on Laundry detergent may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Bar soap available in stock?,"Yes, Bar soap is available under the Household Products category. Availability and exact stock levels may vary by seller."
products,Where can I find Bar soap?,You can find Bar soap listed under the Household Products category. Our agent can help you compare sellers and options.
products,"Nahitaji Sabuni ya kipande, mnayo?","Ndiyo, Sabuni ya kipande (Bar soap) inapatikana kwenye category ya Household Products. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Bar soap?,"The price of Bar soap depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Sabuni ya kipande ni kiasi gani?,"Bei ya Sabuni ya kipande inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Bar soap for bulk orders?,Bulk pricing on Bar soap may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Dishwashing liquid available in stock?,"Yes, Dishwashing liquid is available under the Household Products category. Availability and exact stock levels may vary by seller."
products,Where can I find Dishwashing liquid?,You can find Dishwashing liquid listed under the Household Products category. Our agent can help you compare sellers and options.
products,"Nahitaji Sabuni ya vyombo, mnayo?","Ndiyo, Sabuni ya vyombo (Dishwashing liquid) inapatikana kwenye category ya Household Products. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Dishwashing liquid?,"The price of Dishwashing liquid depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Sabuni ya vyombo ni kiasi gani?,"Bei ya Sabuni ya vyombo inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Dishwashing liquid for bulk orders?,Bulk pricing on Dishwashing liquid may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Bleach available in stock?,"Yes, Bleach is available under the Household Products category. Availability and exact stock levels may vary by seller."
products,Where can I find Bleach?,You can find Bleach listed under the Household Products category. Our agent can help you compare sellers and options.
products,"Nahitaji Bleach, mnayo?","Ndiyo, Bleach (Bleach) inapatikana kwenye category ya Household Products. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Bleach?,"The price of Bleach depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Bleach ni kiasi gani?,"Bei ya Bleach inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Bleach for bulk orders?,Bulk pricing on Bleach may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Disinfectant available in stock?,"Yes, Disinfectant is available under the Household Products category. Availability and exact stock levels may vary by seller."
products,Where can I find Disinfectant?,You can find Disinfectant listed under the Household Products category. Our agent can help you compare sellers and options.
products,"Nahitaji Dawa ya kuua vijidudu, mnayo?","Ndiyo, Dawa ya kuua vijidudu (Disinfectant) inapatikana kwenye category ya Household Products. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Disinfectant?,"The price of Disinfectant depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Dawa ya kuua vijidudu ni kiasi gani?,"Bei ya Dawa ya kuua vijidudu inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Disinfectant for bulk orders?,Bulk pricing on Disinfectant may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Toilet cleaner available in stock?,"Yes, Toilet cleaner is available under the Household Products category. Availability and exact stock levels may vary by seller."
products,Where can I find Toilet cleaner?,You can find Toilet cleaner listed under the Household Products category. Our agent can help you compare sellers and options.
products,"Nahitaji Sabuni ya choo, mnayo?","Ndiyo, Sabuni ya choo (Toilet cleaner) inapatikana kwenye category ya Household Products. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Toilet cleaner?,"The price of Toilet cleaner depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Sabuni ya choo ni kiasi gani?,"Bei ya Sabuni ya choo inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Toilet cleaner for bulk orders?,Bulk pricing on Toilet cleaner may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Air freshener available in stock?,"Yes, Air freshener is available under the Household Products category. Availability and exact stock levels may vary by seller."
products,Where can I find Air freshener?,You can find Air freshener listed under the Household Products category. Our agent can help you compare sellers and options.
products,"Nahitaji Manukato ya chumbani, mnayo?","Ndiyo, Manukato ya chumbani (Air freshener) inapatikana kwenye category ya Household Products. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Air freshener?,"The price of Air freshener depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Manukato ya chumbani ni kiasi gani?,"Bei ya Manukato ya chumbani inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Air freshener for bulk orders?,Bulk pricing on Air freshener may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Tissue paper available in stock?,"Yes, Tissue paper is available under the Household Products category. Availability and exact stock levels may vary by seller."
products,Where can I find Tissue paper?,You can find Tissue paper listed under the Household Products category. Our agent can help you compare sellers and options.
products,"Nahitaji Tissue, mnayo?","Ndiyo, Tissue (Tissue paper) inapatikana kwenye category ya Household Products. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Tissue paper?,"The price of Tissue paper depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Tissue ni kiasi gani?,"Bei ya Tissue inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Tissue paper for bulk orders?,Bulk pricing on Tissue paper may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Toilet paper available in stock?,"Yes, Toilet paper is available under the Household Products category. Availability and exact stock levels may vary by seller."
products,Where can I find Toilet paper?,You can find Toilet paper listed under the Household Products category. Our agent can help you compare sellers and options.
products,"Nahitaji Karatasi ya chooni, mnayo?","Ndiyo, Karatasi ya chooni (Toilet paper) inapatikana kwenye category ya Household Products. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Toilet paper?,"The price of Toilet paper depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Karatasi ya chooni ni kiasi gani?,"Bei ya Karatasi ya chooni inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Toilet paper for bulk orders?,Bulk pricing on Toilet paper may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Buckets available in stock?,"Yes, Buckets is available under the Household Products category. Availability and exact stock levels may vary by seller."
products,Where can I find Buckets?,You can find Buckets listed under the Household Products category. Our agent can help you compare sellers and options.
products,"Nahitaji Ndoo, mnayo?","Ndiyo, Ndoo (Buckets) inapatikana kwenye category ya Household Products. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Buckets?,"The price of Buckets depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Ndoo ni kiasi gani?,"Bei ya Ndoo inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Buckets for bulk orders?,Bulk pricing on Buckets may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Brooms available in stock?,"Yes, Brooms is available under the Household Products category. Availability and exact stock levels may vary by seller."
products,Where can I find Brooms?,You can find Brooms listed under the Household Products category. Our agent can help you compare sellers and options.
products,"Nahitaji Ufagio, mnayo?","Ndiyo, Ufagio (Brooms) inapatikana kwenye category ya Household Products. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Brooms?,"The price of Brooms depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Ufagio ni kiasi gani?,"Bei ya Ufagio inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Brooms for bulk orders?,Bulk pricing on Brooms may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Mops available in stock?,"Yes, Mops is available under the Household Products category. Availability and exact stock levels may vary by seller."
products,Where can I find Mops?,You can find Mops listed under the Household Products category. Our agent can help you compare sellers and options.
products,"Nahitaji Mop, mnayo?","Ndiyo, Mop (Mops) inapatikana kwenye category ya Household Products. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Mops?,"The price of Mops depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Mop ni kiasi gani?,"Bei ya Mop inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Mops for bulk orders?,Bulk pricing on Mops may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Dustbins available in stock?,"Yes, Dustbins is available under the Household Products category. Availability and exact stock levels may vary by seller."
products,Where can I find Dustbins?,You can find Dustbins listed under the Household Products category. Our agent can help you compare sellers and options.
products,"Nahitaji Pipa la taka, mnayo?","Ndiyo, Pipa la taka (Dustbins) inapatikana kwenye category ya Household Products. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
