customer,category,answers,language
What's your best price for Office desk?,"Computers, IT & Office","We currently sell Office desk at TZS 294,500. It's in stock and ready for delivery within 5 days.",English
How long will delivery of Vodacom 5GB monthly bundle to Zanzibar take?,Internet & Airtime Bundles,"We currently sell Vodacom 5GB monthly bundle at TZS 15,500. It's in stock and ready for delivery within 3 days.",English
Bei ya Kitambaa cha kitenge ni ngapi?,Nguo na Mavazi,"Bei yetu ya Kitambaa cha kitenge ni TZS 34,000, na tunaweza kuisafirisha hadi Mbeya ndani ya siku 4.",Kiswahili
Can you confirm the current price of Tigo 10GB monthly bundle?,Internet & Airtime Bundles,"Tigo 10GB monthly bundle costs TZS 22,000 per bundle. We have it available and delivery takes about 3 days.",English
Nikinunua 3 kipande za Tairi la pikipiki nitatozwa kiasi gani?,"Pikipiki, Baiskeli na Vipuri","Tairi la pikipiki inauzwa TZS 35,500 kwa kipande. Tunayo bidhaa hii na usafirishaji unachukua siku 3.",Kiswahili
"I want to buy Mattress (queen size), what is the price?",Furniture & Home,"Yes, Mattress (queen size) is in stock. The price is TZS 268,000 and delivery to Mwanza takes 3 days.",English
"Nataka kununua Kitambaa cha kitenge, bei yake ni ngapi?",Nguo na Mavazi,"Bei ya sasa ya 10 mita za Kitambaa cha kitenge ni TZS 20,000. Usafirishaji ndani ya siku 4 unawezekana.",Kiswahili
"I want to buy Beans 100kg, what is the price?",Food & Beverages,"We currently sell Beans 100kg at TZS 268,000. It's in stock and ready for delivery within 1 days.",English
Bei ya Nyweleponda za kusuka ni ngapi?,Vipodozi na Usafi wa Mwili,"Nyweleponda za kusuka inapatikana kwa bei ya TZS 11,500. Tafadhali fahamu usafirishaji hadi Arusha unachukua siku 4.",Kiswahili
Bei ya Kahawa (Arabica) kilo 1 ni ngapi?,Vyakula na Vinywaji,"Bei yetu ya Kahawa (Arabica) kilo 1 ni TZS 13,000, na tunaweza kuisafirisha hadi Tanga ndani ya siku 3.",Kiswahili
Naweza kupata Kikokotoo cha kisayansi kikaletwa Arusha?,"Vitabu, Elimu na Vifaa vya Shule","Ndiyo, Kikokotoo cha kisayansi ipo dukani. Bei yake ni TZS 24,500 na usafirishaji hadi Arusha unachukua siku 2.",Kiswahili
Is there a discount if I buy 2 pair of Rubber sandals (Kambaza)?,Shoes & Bags,"Yes, Rubber sandals (Kambaza) is in stock. The price is TZS 9,000 and delivery to Mbeya takes 2 days.",English
Tafadhali nieleze bei ya Kambaza pamoja na usafirishaji hadi Arusha.,Viatu na Mikoba,"Ndiyo, Kambaza ipo dukani. Bei yake ni TZS 4,500 na usafirishaji hadi Arusha unachukua siku 2.",Kiswahili
What is the price for 5 piece of Office chair?,"Computers, IT & Office","Yes, Office chair is in stock. The price is TZS 138,000 and delivery to Tanga takes 5 days.",English
Bei ya Tecno Spark 20 ni ngapi?,Simu za Mkononi,"Bei ya sasa ya 10 kipande za Tecno Spark 20 ni TZS 299,000. Usafirishaji ndani ya siku 4 unawezekana.",Kiswahili
"Nataka kununua Kifuniko cha simu, bei yake ni ngapi?",Simu za Mkononi,"Kifuniko cha simu inapatikana kwa bei ya TZS 7,500. Tafadhali fahamu usafirishaji hadi Dar es Salaam unachukua siku 3.",Kiswahili
"Je, mnauza Chaja ya simu? Kama ndiyo, bei yake ni ngapi?",Simu za Mkononi,"Bei ya sasa ya 1 kipande za Chaja ya simu ni TZS 17,000. Usafirishaji ndani ya siku 7 unawezekana.",Kiswahili
Can you confirm the current price of Fertilizer (NPK) 50kg?,Agriculture & Livestock,"Thank you for your inquiry. Fertilizer (NPK) 50kg is priced at TZS 82,000 and is available for delivery within 7 days.",English
Can you confirm the current price of Wheelbarrow?,Agriculture & Livestock,"Thank you for your inquiry. Wheelbarrow is priced at TZS 72,500 and is available for delivery within 3 days.",English
What is the price of Mosquito net (treated)?,Health & Pharmacy,"Yes, Mosquito net (treated) is in stock. The price is TZS 12,500 and delivery to Shinyanga takes 1 days.",English
Mafuta ya injini lita 1 inauzwa bei gani?,"Pikipiki, Baiskeli na Vipuri","Mafuta ya injini lita 1 inauzwa TZS 12,000 kwa lita. Tunayo bidhaa hii na usafirishaji unachukua siku 1.",Kiswahili
What is the price for 10 kit of First aid kit?,Health & Pharmacy,"The current price for 10 kit of First aid kit is TZS 485,000. Delivery within 2 days is possible.",English
Nikinunua 3 kipande za Kioo cha pembeni nitatozwa kiasi gani?,Magari na Vipuri,"Asante kwa swali lako. Kioo cha pembeni ina bei ya TZS 36,000 na inapatikana kwa usafirishaji ndani ya siku 4.",Kiswahili
Bei ya Begi la kiunoni ni ngapi?,Viatu na Mikoba,"Bei ya Begi la kiunoni ni TZS 9,500. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Songea ndani ya siku 4.",Kiswahili
What's your best price for Hand sanitizer 500ml?,Health & Pharmacy,"Hand sanitizer 500ml is available at TZS 11,000. Kindly note delivery to Tanga takes 1 days.",English
Can you confirm the current price of Ballpoint pens (dozen)?,"Books, Education & Stationery","Ballpoint pens (dozen) is available at TZS 4,000. Kindly note delivery to Moshi takes 5 days.",English
Naweza kupata Kofia ya pikipiki kikaletwa Mwanza?,"Pikipiki, Baiskeli na Vipuri","Bei yetu ya Kofia ya pikipiki ni TZS 32,500, na tunaweza kuisafirisha hadi Mwanza ndani ya siku 3.",Kiswahili
Bei ya Kitabu cha shule ya sekondari ni ngapi?,"Vitabu, Elimu na Vifaa vya Shule","Bei yetu ya Kitabu cha shule ya sekondari ni TZS 17,000, na tunaweza kuisafirisha hadi Tanga ndani ya siku 7.",Kiswahili
Can I get Office desk delivered to Mbeya?,"Computers, IT & Office","Yes, Office desk is in stock. The price is TZS 310,500 and delivery to Mbeya takes 2 days.",English
Nikinunua 5 kipande za Kipima shinikizo la damu nitatozwa kiasi gani?,Afya na Dawa,"Bei yetu ya Kipima shinikizo la damu ni TZS 56,000, na tunaweza kuisafirisha hadi Kigoma ndani ya siku 4.",Kiswahili
What is the price of HP laptop (Core i5)?,"Computers, IT & Office","HP laptop (Core i5) costs TZS 1,274,500 per piece. We have it available and delivery takes about 2 days.",English
"Nataka kununua Sukari kilo 50, bei yake ni ngapi?",Vyakula na Vinywaji,"Ndiyo, Sukari kilo 50 ipo dukani. Bei yake ni TZS 141,000 na usafirishaji hadi Shinyanga unachukua siku 7.",Kiswahili
"Nataka kununua Paracetamol (pakiti), bei yake ni ngapi?",Afya na Dawa,"Bei yetu ya Paracetamol (pakiti) ni TZS 2,500, na tunaweza kuisafirisha hadi Tabora ndani ya siku 2.",Kiswahili
Usafirishaji wa Infinix Hot 40 hadi Dar es Salaam unachukua muda gani?,Simu za Mkononi,"Bei yetu ya Infinix Hot 40 ni TZS 359,000, na tunaweza kuisafirisha hadi Dar es Salaam ndani ya siku 7.",Kiswahili
Do you have Soap bar in stock right now?,Cosmetics & Personal Care,"We currently sell Soap bar at TZS 1,500. It's in stock and ready for delivery within 7 days.",English
How much would 1 piece of Double bed frame cost me?,Furniture & Home,"Thank you for your inquiry. Double bed frame is priced at TZS 408,500 and is available for delivery within 1 days.",English
"Je, mnayo Mafuta ya kupikia lita 20 kwa sasa dukani?",Vyakula na Vinywaji,"Bei ya Mafuta ya kupikia lita 20 ni TZS 77,500. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Dodoma ndani ya siku 7.",Kiswahili
What's your best price for LG television 43-inch?,Home Appliances & Electronics,"We currently sell LG television 43-inch at TZS 535,000. It's in stock and ready for delivery within 1 days.",English
"Je, kuna punguzo nikinunua 3 kipande za Friji ya Hisense lita 150?",Vifaa vya Nyumbani na Umeme,"Friji ya Hisense lita 150 inapatikana kwa bei ya TZS 585,000. Tafadhali fahamu usafirishaji hadi Zanzibar unachukua siku 4.",Kiswahili
What's your best price for Bicycle tyre?,"Motorcycles, Bicycles & Spare Parts","Yes, Bicycle tyre is in stock. The price is TZS 15,000 and delivery to Tanga takes 1 days.",English
Begi la shule inauzwa bei gani?,Viatu na Mikoba,"Asante kwa swali lako. Begi la shule ina bei ya TZS 36,000 na inapatikana kwa usafirishaji ndani ya siku 7.",Kiswahili
What is the price for 1 bag of Maize flour (unga wa dona) 25kg?,Food & Beverages,"Maize flour (unga wa dona) 25kg is available at TZS 31,500. Kindly note delivery to Morogoro takes 3 days.",English
What is the price for 2 piece of Hair relaxer?,Cosmetics & Personal Care,"Hair relaxer is available at TZS 11,500. Kindly note delivery to Morogoro takes 5 days.",English
Nikinunua 2 kipande za Kipanya kisichotumia waya nitatozwa kiasi gani?,"Kompyuta, TEHAMA na Ofisi","Kipanya kisichotumia waya inapatikana kwa bei ya TZS 23,000. Tafadhali fahamu usafirishaji hadi Shinyanga unachukua siku 2.",Kiswahili
What's your best price for Car engine oil 4L?,Vehicles & Auto Parts,"We currently sell Car engine oil 4L at TZS 38,500. It's in stock and ready for delivery within 1 days.",English
Naweza kupata Ada ya kutoa pesa mtandaoni (100000) kikaletwa Dodoma?,Mifuko ya Intaneti na Salio,"Ada ya kutoa pesa mtandaoni (100000) inapatikana kwa bei ya TZS 2,000. Tafadhali fahamu usafirishaji hadi Dodoma unachukua siku 1.",Kiswahili
Is Azam soda crate available in Tabora?,Food & Beverages,"Our price for Azam soda crate is TZS 12,000, and we can deliver it to Tabora within 7 days.",English
Naweza kupata Dawa ya kusafisha mikono ml 500 kikaletwa Mbeya?,Afya na Dawa,"Kwa sasa tunauza Dawa ya kusafisha mikono ml 500 kwa TZS 8,500. Ipo dukani na tayari kwa usafirishaji ndani ya siku 3.",Kiswahili
What is the price of Waist bag?,Shoes & Bags,"Waist bag is available at TZS 10,500. Kindly note delivery to Mwanza takes 2 days.",English
Bei ya Fleshi ya USB GB 32 ni ngapi?,"Kompyuta, TEHAMA na Ofisi","Ndiyo, Fleshi ya USB GB 32 ipo dukani. Bei yake ni TZS 14,500 na usafirishaji hadi Shinyanga unachukua siku 4.",Kiswahili
"Do you sell T-shirt? If so, at what price?",Clothing & Textiles,"Our price for T-shirt is TZS 13,500, and we can deliver it to Kigoma within 5 days.",English
"Je, mnayo Meza ya kulia chakula (viti 6) kwa sasa dukani?",Samani na Vifaa vya Nyumbani,"Asante kwa swali lako. Meza ya kulia chakula (viti 6) ina bei ya TZS 621,000 na inapatikana kwa usafirishaji ndani ya siku 2.",Kiswahili
Bei yenu nzuri zaidi ya Chandarua (kilichotibiwa) ni ngapi?,Afya na Dawa,"Ndiyo, Chandarua (kilichotibiwa) ipo dukani. Bei yake ni TZS 10,500 na usafirishaji hadi Mbeya unachukua siku 5.",Kiswahili
"Do you sell Side mirror? If so, at what price?",Vehicles & Auto Parts,"Thank you for your inquiry. Side mirror is priced at TZS 27,500 and is available for delivery within 7 days.",English
"Do you sell Scientific calculator? If so, at what price?","Books, Education & Stationery","The price of Scientific calculator is TZS 32,500. It is currently in stock and can be delivered to Kigoma within 5 days.",English
Nina hamu ya kununua Mbegu za mahindi kilo 2. Bei yake ni ngapi?,Kilimo na Mifugo,"Bei ya Mbegu za mahindi kilo 2 ni TZS 14,000. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Tabora ndani ya siku 7.",Kiswahili
Naweza kupata Dawa ya kunyoosha nywele kikaletwa Songea?,Vipodozi na Usafi wa Mwili,"Bei yetu ya Dawa ya kunyoosha nywele ni TZS 12,500, na tunaweza kuisafirisha hadi Songea ndani ya siku 7.",Kiswahili
I'm interested in Bluetooth earphones. How much is it?,Mobile Phones,"We currently sell Bluetooth earphones at TZS 49,000. It's in stock and ready for delivery within 5 days.",English
Can I get Brake pads (set) delivered to Mwanza?,Vehicles & Auto Parts,"Brake pads (set) costs TZS 68,500 per set. We have it available and delivery takes about 7 days.",English
"Je, Dawa ya kikohozi inapatikana Iringa?",Afya na Dawa,"Asante kwa swali lako. Dawa ya kikohozi ina bei ya TZS 5,500 na inapatikana kwa usafirishaji ndani ya siku 7.",Kiswahili
Bei yenu nzuri zaidi ya Kalamu za wino (dazani) ni ngapi?,"Vitabu, Elimu na Vifaa vya Shule","Asante kwa swali lako. Kalamu za wino (dazani) ina bei ya TZS 5,000 na inapatikana kwa usafirishaji ndani ya siku 4.",Kiswahili
Is Azam soda crate available in Kigoma?,Food & Beverages,"We currently sell Azam soda crate at TZS 12,500. It's in stock and ready for delivery within 7 days.",English
Do you have Curtains (per pair) in stock right now?,Furniture & Home,"Our price for Curtains (per pair) is TZS 42,500, and we can deliver it to Dar es Salaam within 2 days.",English
"Nataka kununua Bomba la umwagiliaji (kwa mita), bei yake ni ngapi?",Kilimo na Mifugo,"Ndiyo, Bomba la umwagiliaji (kwa mita) ipo dukani. Bei yake ni TZS 3,000 na usafirishaji hadi Arusha unachukua siku 1.",Kiswahili
"Je, kuna punguzo nikinunua 3 kipande za Kiti cha plastiki?",Samani na Vifaa vya Nyumbani,"Bei ya sasa ya 3 kipande za Kiti cha plastiki ni TZS 52,500. Usafirishaji ndani ya siku 4 unawezekana.",Kiswahili
Naweza kupata Kengele ya baiskeli kikaletwa Tanga?,"Pikipiki, Baiskeli na Vipuri","Bei ya Kengele ya baiskeli ni TZS 4,000. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Tanga ndani ya siku 2.",Kiswahili
Do you have Dining table (6-seater) in stock right now?,Furniture & Home,"Yes, Dining table (6-seater) is in stock. The price is TZS 381,000 and delivery to Moshi takes 2 days.",English
Nina hamu ya kununua Kuku wa mayai. Bei yake ni ngapi?,Kilimo na Mifugo,"Bei yetu ya Kuku wa mayai ni TZS 12,500, na tunaweza kuisafirisha hadi Mbeya ndani ya siku 7.",Kiswahili
Nina hamu ya kununua Printa (inkjet). Bei yake ni ngapi?,"Kompyuta, TEHAMA na Ofisi","Printa (inkjet) inauzwa TZS 219,000 kwa kipande. Tunayo bidhaa hii na usafirishaji unachukua siku 4.",Kiswahili
What's your best price for Wireless mouse?,"Computers, IT & Office","Wireless mouse is available at TZS 19,500. Kindly note delivery to Dodoma takes 2 days.",English
What is the price of Cooking oil 20L?,Food & Beverages,"The current price for 3 jerrican of Cooking oil 20L is TZS 81,000. Delivery within 3 days is possible.",English
Is Car engine oil 4L available in Mbeya?,Vehicles & Auto Parts,"Our price for Car engine oil 4L is TZS 54,500, and we can deliver it to Mbeya within 7 days.",English
Nikinunua 2 gunia za Sukari kilo 50 nitatozwa kiasi gani?,Vyakula na Vinywaji,"Sukari kilo 50 inauzwa TZS 142,500 kwa gunia. Tunayo bidhaa hii na usafirishaji unachukua siku 3.",Kiswahili
How much would 10 bottle of Pesticide 1L cost me?,Agriculture & Livestock,"Our price for Pesticide 1L is TZS 29,000, and we can deliver it to Zanzibar within 2 days.",English
Can I get Wireless mouse delivered to Dar es Salaam?,"Computers, IT & Office","Wireless mouse costs TZS 25,500 per piece. We have it available and delivery takes about 5 days.",English
Nikinunua 2 chupa za Dawa ya kikohozi nitatozwa kiasi gani?,Afya na Dawa,"Asante kwa swali lako. Dawa ya kikohozi ina bei ya TZS 6,500 na inapatikana kwa usafirishaji ndani ya siku 1.",Kiswahili
Is there a discount if I buy 2 set of Wooden sofa set?,Furniture & Home,"We currently sell Wooden sofa set at TZS 653,000. It's in stock and ready for delivery within 7 days.",English
Please tell me the cost of Tecno Spark 20 including delivery to Arusha.,Mobile Phones,"Our price for Tecno Spark 20 is TZS 253,500, and we can deliver it to Arusha within 7 days.",English
"Je, Viatu vya ngozi vya wanaume inapatikana Kigoma?",Viatu na Mikoba,"Ndiyo, Viatu vya ngozi vya wanaume ipo dukani. Bei yake ni TZS 46,000 na usafirishaji hadi Kigoma unachukua siku 3.",Kiswahili
How much does Perfume cost?,Cosmetics & Personal Care,"The price of Perfume is TZS 30,500. It is currently in stock and can be delivered to Songea within 3 days.",English
Is Toothpaste available in Kigoma?,Cosmetics & Personal Care,"Toothpaste is available at TZS 3,000. Kindly note delivery to Kigoma takes 5 days.",English
Naweza kupata Betri ya gari kikaletwa Dar es Salaam?,Magari na Vipuri,"Betri ya gari inauzwa TZS 187,500 kwa kipande. Tunayo bidhaa hii na usafirishaji unachukua siku 3.",Kiswahili
"Je, mnauza Maharage kilo 100? Kama ndiyo, bei yake ni ngapi?",Vyakula na Vinywaji,"Bei yetu ya Maharage kilo 100 ni TZS 243,000, na tunaweza kuisafirisha hadi Tanga ndani ya siku 1.",Kiswahili
Nina hamu ya kununua Betri ya pikipiki. Bei yake ni ngapi?,"Pikipiki, Baiskeli na Vipuri","Bei ya Betri ya pikipiki ni TZS 73,000. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Mbeya ndani ya siku 4.",Kiswahili
Jembe la mkono inauzwa bei gani?,Kilimo na Mifugo,"Jembe la mkono inauzwa TZS 8,500 kwa kipande. Tunayo bidhaa hii na usafirishaji unachukua siku 7.",Kiswahili
Usafirishaji wa Kipika mchele hadi Tanga unachukua muda gani?,Vifaa vya Nyumbani na Umeme,"Bei ya sasa ya 5 kipande za Kipika mchele ni TZS 64,500. Usafirishaji ndani ya siku 4 unawezekana.",Kiswahili
How long will delivery of Toyota Probox (used) to Tanga take?,Vehicles & Auto Parts,"Our price for Toyota Probox (used) is TZS 15,654,500, and we can deliver it to Tanga within 1 days.",English
Naomba mnithibitishie bei ya sasa ya Tairi la pikipiki.,"Pikipiki, Baiskeli na Vipuri","Bei yetu ya Tairi la pikipiki ni TZS 49,000, na tunaweza kuisafirisha hadi Zanzibar ndani ya siku 2.",Kiswahili
Bei ya Friji ya Hisense lita 150 ni ngapi?,Vifaa vya Nyumbani na Umeme,"Friji ya Hisense lita 150 inauzwa TZS 748,000 kwa kipande. Tunayo bidhaa hii na usafirishaji unachukua siku 4.",Kiswahili
Bei yenu nzuri zaidi ya Power bank ya 10000mAh ni ngapi?,Simu za Mkononi,"Bei ya sasa ya 10 kipande za Power bank ya 10000mAh ni TZS 33,000. Usafirishaji ndani ya siku 7 unawezekana.",Kiswahili
I'm interested in Secondary school textbook. How much is it?,"Books, Education & Stationery","Our price for Secondary school textbook is TZS 12,500, and we can deliver it to Mwanza within 2 days.",English
Bei yenu nzuri zaidi ya Pochi ya ngozi ni ngapi?,Viatu na Mikoba,"Bei ya sasa ya 2 kipande za Pochi ya ngozi ni TZS 24,500. Usafirishaji ndani ya siku 5 unawezekana.",Kiswahili
Is Vodacom 5GB monthly bundle available in Dodoma?,Internet & Airtime Bundles,"The price of Vodacom 5GB monthly bundle is TZS 18,000. It is currently in stock and can be delivered to Dodoma within 3 days.",English
"Je, mnayo Viatu vya michezo kwa sasa dukani?",Viatu na Mikoba,"Viatu vya michezo inapatikana kwa bei ya TZS 54,500. Tafadhali fahamu usafirishaji hadi Songea unachukua siku 2.",Kiswahili
How much would 5 piece of Thermometer (digital) cost me?,Health & Pharmacy,"Thank you for your inquiry. Thermometer (digital) is priced at TZS 20,500 and is available for delivery within 5 days.",English
I'm interested in Women's sandals. How much is it?,Shoes & Bags,"The price of Women's sandals is TZS 30,000. It is currently in stock and can be delivered to Moshi within 4 days.",English
"Je, kuna punguzo nikinunua 5 kipande za Waipa ya kioo cha mbele?",Magari na Vipuri,"Waipa ya kioo cha mbele inauzwa TZS 20,500 kwa kipande. Tunayo bidhaa hii na usafirishaji unachukua siku 4.",Kiswahili
What's your best price for Waist bag?,Shoes & Bags,"Our price for Waist bag is TZS 18,500, and we can deliver it to Kigoma within 7 days.",English
"Do you sell Mobile money withdrawal fee (100000)? If so, at what price?",Internet & Airtime Bundles,"Thank you for your inquiry. Mobile money withdrawal fee (100000) is priced at TZS 3,000 and is available for delivery within 5 days.",English
"Je, mnauza Chandarua (kilichotibiwa)? Kama ndiyo, bei yake ni ngapi?",Afya na Dawa,"Bei yetu ya Chandarua (kilichotibiwa) ni TZS 17,000, na tunaweza kuisafirisha hadi Tanga ndani ya siku 5.",Kiswahili
Naweza kupata Waipa ya kioo cha mbele kikaletwa Zanzibar?,Magari na Vipuri,"Bei yetu ya Waipa ya kioo cha mbele ni TZS 27,000, na tunaweza kuisafirisha hadi Zanzibar ndani ya siku 4.",Kiswahili
Naweza kupata Printa (inkjet) kikaletwa Arusha?,"Kompyuta, TEHAMA na Ofisi","Asante kwa swali lako. Printa (inkjet) ina bei ya TZS 218,000 na inapatikana kwa usafirishaji ndani ya siku 2.",Kiswahili
How much would 3 piece of Samsung Galaxy A15 cost me?,Mobile Phones,"Yes, Samsung Galaxy A15 is in stock. The price is TZS 382,500 and delivery to Mwanza takes 3 days.",English
"Je, Suti ya wanaume inapatikana Shinyanga?",Nguo na Mavazi,"Kwa sasa tunauza Suti ya wanaume kwa TZS 80,500. Ipo dukani na tayari kwa usafirishaji ndani ya siku 7.",Kiswahili
Bei ya 2 gunia za Maharage kilo 100 ni ngapi?,Vyakula na Vinywaji,"Bei yetu ya Maharage kilo 100 ni TZS 255,500, na tunaweza kuisafirisha hadi Kigoma ndani ya siku 1.",Kiswahili
Usafirishaji wa Toyota Noah (mtumba) hadi Tabora unachukua muda gani?,Magari na Vipuri,"Toyota Noah (mtumba) inapatikana kwa bei ya TZS 24,916,000. Tafadhali fahamu usafirishaji hadi Tabora unachukua siku 1.",Kiswahili
Do you have Electric iron in stock right now?,Home Appliances & Electronics,"Electric iron costs TZS 36,000 per piece. We have it available and delivery takes about 4 days.",English
Nina hamu ya kununua Inverter ya 1000W. Bei yake ni ngapi?,Vifaa vya Nyumbani na Umeme,"Ndiyo, Inverter ya 1000W ipo dukani. Bei yake ni TZS 356,500 na usafirishaji hadi Moshi unachukua siku 4.",Kiswahili
What is the price of Ballpoint pens (dozen)?,"Books, Education & Stationery","Ballpoint pens (dozen) costs TZS 5,000 per dozen. We have it available and delivery takes about 4 days.",English
"I want to buy Hair relaxer, what is the price?",Cosmetics & Personal Care,"Yes, Hair relaxer is in stock. The price is TZS 13,000 and delivery to Moshi takes 2 days.",English
How much would 5 kg of Coffee (Arabica) 1kg cost me?,Food & Beverages,"Coffee (Arabica) 1kg costs TZS 21,500 per kg. We have it available and delivery takes about 5 days.",English
"I want to buy Dairy cow, what is the price?",Agriculture & Livestock,"The price of Dairy cow is TZS 1,286,000. It is currently in stock and can be delivered to Mwanza within 2 days.",English
Usafirishaji wa Kijitabu cha maswali ya mitihani ya chuo hadi Mwanza unachukua muda gani?,"Vitabu, Elimu na Vifaa vya Shule","Bei ya sasa ya 3 kipande za Kijitabu cha maswali ya mitihani ya chuo ni TZS 10,000. Usafirishaji ndani ya siku 4 unawezekana.",Kiswahili
Naomba mnithibitishie bei ya sasa ya Dawa ya kujikinga na jua.,Vipodozi na Usafi wa Mwili,"Dawa ya kujikinga na jua inauzwa TZS 23,000 kwa mrija. Tunayo bidhaa hii na usafirishaji unachukua siku 7.",Kiswahili
Birika la umeme inauzwa bei gani?,Vifaa vya Nyumbani na Umeme,"Bei yetu ya Birika la umeme ni TZS 33,000, na tunaweza kuisafirisha hadi Moshi ndani ya siku 2.",Kiswahili
Naweza kupata Jembe la mkono kikaletwa Zanzibar?,Kilimo na Mifugo,"Bei ya sasa ya 1 kipande za Jembe la mkono ni TZS 12,500. Usafirishaji ndani ya siku 3 unawezekana.",Kiswahili
"Je, mnayo Maziwa mabichi lita 1 kwa sasa dukani?",Vyakula na Vinywaji,"Asante kwa swali lako. Maziwa mabichi lita 1 ina bei ya TZS 2,500 na inapatikana kwa usafirishaji ndani ya siku 7.",Kiswahili
What's your best price for Azam soda crate?,Food & Beverages,"Our price for Azam soda crate is TZS 17,000, and we can deliver it to Tanga within 4 days.",English
Bei ya 1 seti za Seti ya kufunika viti vya gari ni ngapi?,Magari na Vipuri,"Bei ya Seti ya kufunika viti vya gari ni TZS 117,500. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Iringa ndani ya siku 1.",Kiswahili
"I want to buy Office desk, what is the price?","Computers, IT & Office","Yes, Office desk is in stock. The price is TZS 277,000 and delivery to Zanzibar takes 7 days.",English
What is the price for 5 piece of Hisense refrigerator 150L?,Home Appliances & Electronics,"We currently sell Hisense refrigerator 150L at TZS 779,500. It's in stock and ready for delivery within 7 days.",English
Tafadhali nieleze bei ya Sabuni ya mche pamoja na usafirishaji hadi Kigoma.,Vipodozi na Usafi wa Mwili,"Bei ya sasa ya 1 kipande za Sabuni ya mche ni TZS 1,500. Usafirishaji ndani ya siku 5 unawezekana.",Kiswahili
How much would 1 tube of Sunscreen cost me?,Cosmetics & Personal Care,"The price of Sunscreen is TZS 19,000. It is currently in stock and can be delivered to Arusha within 5 days.",English
"Nataka kununua Gauni la wanawake, bei yake ni ngapi?",Nguo na Mavazi,"Ndiyo, Gauni la wanawake ipo dukani. Bei yake ni TZS 37,000 na usafirishaji hadi Kigoma unachukua siku 7.",Kiswahili
Naweza kupata Vidonge vya Vitamin C kikaletwa Arusha?,Afya na Dawa,"Vidonge vya Vitamin C inauzwa TZS 10,000 kwa pakiti. Tunayo bidhaa hii na usafirishaji unachukua siku 7.",Kiswahili
How much would 3 line of SIM card registration cost me?,Internet & Airtime Bundles,"The current price for 3 line of SIM card registration is TZS 4,500. Delivery within 5 days is possible.",English
Is there a discount if I buy 10 bundle of Halotel daily bundle 1GB?,Internet & Airtime Bundles,We currently sell Halotel daily bundle 1GB at TZS 500. It's in stock and ready for delivery within 7 days.,English
Nina hamu ya kununua Vipokea sauti vya bluetooth. Bei yake ni ngapi?,Simu za Mkononi,"Ndiyo, Vipokea sauti vya bluetooth ipo dukani. Bei yake ni TZS 19,000 na usafirishaji hadi Kigoma unachukua siku 1.",Kiswahili
What is the price of Women's sandals?,Shoes & Bags,"The price of Women's sandals is TZS 37,500. It is currently in stock and can be delivered to Tabora within 1 days.",English
Do you have Milk (fresh) 1L in stock right now?,Food & Beverages,"Thank you for your inquiry. Milk (fresh) 1L is priced at TZS 2,000 and is available for delivery within 2 days.",English
Tafadhali nieleze bei ya Unga wa dona kilo 25 pamoja na usafirishaji hadi Kigoma.,Vyakula na Vinywaji,"Kwa sasa tunauza Unga wa dona kilo 25 kwa TZS 36,500. Ipo dukani na tayari kwa usafirishaji ndani ya siku 1.",Kiswahili
"I want to buy Rice cooker, what is the price?",Home Appliances & Electronics,"Rice cooker is available at TZS 70,500. Kindly note delivery to Tabora takes 1 days.",English
Usafirishaji wa Begi la kiunoni hadi Dar es Salaam unachukua muda gani?,Viatu na Mikoba,"Bei ya Begi la kiunoni ni TZS 12,500. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Dar es Salaam ndani ya siku 4.",Kiswahili
Do you have Brake pads (set) in stock right now?,Vehicles & Auto Parts,"Yes, Brake pads (set) is in stock. The price is TZS 75,000 and delivery to Songea takes 1 days.",English
Is there a discount if I buy 3 piece of Printer (inkjet)?,"Computers, IT & Office","Yes, Printer (inkjet) is in stock. The price is TZS 299,500 and delivery to Shinyanga takes 3 days.",English
Nina hamu ya kununua Hard drive ya nje TB 1. Bei yake ni ngapi?,"Kompyuta, TEHAMA na Ofisi","Bei yetu ya Hard drive ya nje TB 1 ni TZS 94,000, na tunaweza kuisafirisha hadi Mbeya ndani ya siku 4.",Kiswahili
What is the price for 10 piece of School backpack?,Shoes & Bags,"Thank you for your inquiry. School backpack is priced at TZS 22,500 and is available for delivery within 7 days.",English
Usafirishaji wa Waipa ya kioo cha mbele hadi Songea unachukua muda gani?,Magari na Vipuri,"Bei ya sasa ya 1 kipande za Waipa ya kioo cha mbele ni TZS 21,500. Usafirishaji ndani ya siku 2 unawezekana.",Kiswahili
Tairi la baiskeli inauzwa bei gani?,"Pikipiki, Baiskeli na Vipuri","Tairi la baiskeli inapatikana kwa bei ya TZS 22,000. Tafadhali fahamu usafirishaji hadi Kigoma unachukua siku 7.",Kiswahili
Naweza kupata Meza ya kulia chakula (viti 6) kikaletwa Morogoro?,Samani na Vifaa vya Nyumbani,"Meza ya kulia chakula (viti 6) inauzwa TZS 554,000 kwa kipande. Tunayo bidhaa hii na usafirishaji unachukua siku 1.",Kiswahili
