category,product_english,product_swahili,question,answer
Drinks,Energy drinks,Vinywaji vya kuongeza nguvu,Bei ya Vinywaji vya kuongeza nguvu ni kiasi gani?,"Bei ya Vinywaji vya kuongeza nguvu inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Drinks,Energy drinks,Vinywaji vya kuongeza nguvu,Can you recommend Energy drinks?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Energy drinks.
Drinks,Energy drinks,Vinywaji vya kuongeza nguvu,Where can I find Energy drinks?,You can find Energy drinks under the Drinks category. The agent can help compare available options.
Drinks,Milk drinks,Vinywaji vya maziwa,What is Milk drinks?,Milk drinks (Vinywaji vya maziwa) is available under the Drinks category.
Drinks,Milk drinks,Vinywaji vya maziwa,Do you have Milk drinks?,"Yes, Milk drinks (Vinywaji vya maziwa) can be searched in the Drinks category."
Drinks,Milk drinks,Vinywaji vya maziwa,Nahitaji Vinywaji vya maziwa.,"Ndiyo, Vinywaji vya maziwa (Milk drinks) ipo kwenye category ya Drinks."
Drinks,Milk drinks,Vinywaji vya maziwa,Bei ya Vinywaji vya maziwa ni kiasi gani?,"Bei ya Vinywaji vya maziwa inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Drinks,Milk drinks,Vinywaji vya maziwa,Can you recommend Milk drinks?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Milk drinks.
Drinks,Milk drinks,Vinywaji vya maziwa,Where can I find Milk drinks?,You can find Milk drinks under the Drinks category. The agent can help compare available options.
Drinks,Coffee,Kahawa,What is Coffee?,Coffee (Kahawa) is available under the Drinks category.
Drinks,Coffee,Kahawa,Do you have Coffee?,"Yes, Coffee (Kahawa) can be searched in the Drinks category."
Drinks,Coffee,Kahawa,Nahitaji Kahawa.,"Ndiyo, Kahawa (Coffee) ipo kwenye category ya Drinks."
Drinks,Coffee,Kahawa,Bei ya Kahawa ni kiasi gani?,"Bei ya Kahawa inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Drinks,Coffee,Kahawa,Can you recommend Coffee?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Coffee.
Drinks,Coffee,Kahawa,Where can I find Coffee?,You can find Coffee under the Drinks category. The agent can help compare available options.
Drinks,Tea,Chai,What is Tea?,Tea (Chai) is available under the Drinks category.
Drinks,Tea,Chai,Do you have Tea?,"Yes, Tea (Chai) can be searched in the Drinks category."
Drinks,Tea,Chai,Nahitaji Chai.,"Ndiyo, Chai (Tea) ipo kwenye category ya Drinks."
Drinks,Tea,Chai,Bei ya Chai ni kiasi gani?,"Bei ya Chai inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Drinks,Tea,Chai,Can you recommend Tea?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Tea.
Drinks,Tea,Chai,Where can I find Tea?,You can find Tea under the Drinks category. The agent can help compare available options.
Personal Care and Beauty,Body lotion,Lotion ya mwili,What is Body lotion?,Body lotion (Lotion ya mwili) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Body lotion,Lotion ya mwili,Do you have Body lotion?,"Yes, Body lotion (Lotion ya mwili) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Body lotion,Lotion ya mwili,Nahitaji Lotion ya mwili.,"Ndiyo, Lotion ya mwili (Body lotion) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Body lotion,Lotion ya mwili,Bei ya Lotion ya mwili ni kiasi gani?,"Bei ya Lotion ya mwili inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Body lotion,Lotion ya mwili,Can you recommend Body lotion?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Body lotion.
Personal Care and Beauty,Body lotion,Lotion ya mwili,Where can I find Body lotion?,You can find Body lotion under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Body oil,Mafuta ya mwili,What is Body oil?,Body oil (Mafuta ya mwili) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Body oil,Mafuta ya mwili,Do you have Body oil?,"Yes, Body oil (Mafuta ya mwili) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Body oil,Mafuta ya mwili,Nahitaji Mafuta ya mwili.,"Ndiyo, Mafuta ya mwili (Body oil) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Body oil,Mafuta ya mwili,Bei ya Mafuta ya mwili ni kiasi gani?,"Bei ya Mafuta ya mwili inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Body oil,Mafuta ya mwili,Can you recommend Body oil?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Body oil.
Personal Care and Beauty,Body oil,Mafuta ya mwili,Where can I find Body oil?,You can find Body oil under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Petroleum jelly,Vaseline,What is Petroleum jelly?,Petroleum jelly (Vaseline) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Petroleum jelly,Vaseline,Do you have Petroleum jelly?,"Yes, Petroleum jelly (Vaseline) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Petroleum jelly,Vaseline,Nahitaji Vaseline.,"Ndiyo, Vaseline (Petroleum jelly) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Petroleum jelly,Vaseline,Bei ya Vaseline ni kiasi gani?,"Bei ya Vaseline inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Petroleum jelly,Vaseline,Can you recommend Petroleum jelly?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Petroleum jelly.
Personal Care and Beauty,Petroleum jelly,Vaseline,Where can I find Petroleum jelly?,You can find Petroleum jelly under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Face cream,Krimu ya uso,What is Face cream?,Face cream (Krimu ya uso) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Face cream,Krimu ya uso,Do you have Face cream?,"Yes, Face cream (Krimu ya uso) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Face cream,Krimu ya uso,Nahitaji Krimu ya uso.,"Ndiyo, Krimu ya uso (Face cream) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Face cream,Krimu ya uso,Bei ya Krimu ya uso ni kiasi gani?,"Bei ya Krimu ya uso inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Face cream,Krimu ya uso,Can you recommend Face cream?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Face cream.
Personal Care and Beauty,Face cream,Krimu ya uso,Where can I find Face cream?,You can find Face cream under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Face wash,Sabuni ya uso,What is Face wash?,Face wash (Sabuni ya uso) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Face wash,Sabuni ya uso,Do you have Face wash?,"Yes, Face wash (Sabuni ya uso) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Face wash,Sabuni ya uso,Nahitaji Sabuni ya uso.,"Ndiyo, Sabuni ya uso (Face wash) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Face wash,Sabuni ya uso,Bei ya Sabuni ya uso ni kiasi gani?,"Bei ya Sabuni ya uso inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Face wash,Sabuni ya uso,Can you recommend Face wash?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Face wash.
Personal Care and Beauty,Face wash,Sabuni ya uso,Where can I find Face wash?,You can find Face wash under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Sunscreen,Mafuta ya kuzuia jua,What is Sunscreen?,Sunscreen (Mafuta ya kuzuia jua) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Sunscreen,Mafuta ya kuzuia jua,Do you have Sunscreen?,"Yes, Sunscreen (Mafuta ya kuzuia jua) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Sunscreen,Mafuta ya kuzuia jua,Nahitaji Mafuta ya kuzuia jua.,"Ndiyo, Mafuta ya kuzuia jua (Sunscreen) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Sunscreen,Mafuta ya kuzuia jua,Bei ya Mafuta ya kuzuia jua ni kiasi gani?,"Bei ya Mafuta ya kuzuia jua inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Sunscreen,Mafuta ya kuzuia jua,Can you recommend Sunscreen?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Sunscreen.
Personal Care and Beauty,Sunscreen,Mafuta ya kuzuia jua,Where can I find Sunscreen?,You can find Sunscreen under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Lip balm,Mafuta ya midomo,What is Lip balm?,Lip balm (Mafuta ya midomo) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Lip balm,Mafuta ya midomo,Do you have Lip balm?,"Yes, Lip balm (Mafuta ya midomo) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Lip balm,Mafuta ya midomo,Nahitaji Mafuta ya midomo.,"Ndiyo, Mafuta ya midomo (Lip balm) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Lip balm,Mafuta ya midomo,Bei ya Mafuta ya midomo ni kiasi gani?,"Bei ya Mafuta ya midomo inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Lip balm,Mafuta ya midomo,Can you recommend Lip balm?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Lip balm.
Personal Care and Beauty,Lip balm,Mafuta ya midomo,Where can I find Lip balm?,You can find Lip balm under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Perfume,Perfume/Manukato,What is Perfume?,Perfume (Perfume/Manukato) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Perfume,Perfume/Manukato,Do you have Perfume?,"Yes, Perfume (Perfume/Manukato) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Perfume,Perfume/Manukato,Nahitaji Perfume/Manukato.,"Ndiyo, Perfume/Manukato (Perfume) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Perfume,Perfume/Manukato,Bei ya Perfume/Manukato ni kiasi gani?,"Bei ya Perfume/Manukato inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Perfume,Perfume/Manukato,Can you recommend Perfume?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Perfume.
Personal Care and Beauty,Perfume,Perfume/Manukato,Where can I find Perfume?,You can find Perfume under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Deodorant,Deodorant,What is Deodorant?,Deodorant (Deodorant) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Deodorant,Deodorant,Do you have Deodorant?,"Yes, Deodorant (Deodorant) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Deodorant,Deodorant,Nahitaji Deodorant.,"Ndiyo, Deodorant (Deodorant) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Deodorant,Deodorant,Bei ya Deodorant ni kiasi gani?,"Bei ya Deodorant inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Deodorant,Deodorant,Can you recommend Deodorant?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Deodorant.
Personal Care and Beauty,Deodorant,Deodorant,Where can I find Deodorant?,You can find Deodorant under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Body spray,Body spray,What is Body spray?,Body spray (Body spray) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Body spray,Body spray,Do you have Body spray?,"Yes, Body spray (Body spray) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Body spray,Body spray,Nahitaji Body spray.,"Ndiyo, Body spray (Body spray) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Body spray,Body spray,Bei ya Body spray ni kiasi gani?,"Bei ya Body spray inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Body spray,Body spray,Can you recommend Body spray?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Body spray.
Personal Care and Beauty,Body spray,Body spray,Where can I find Body spray?,You can find Body spray under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Shower gel,Shower gel,What is Shower gel?,Shower gel (Shower gel) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Shower gel,Shower gel,Do you have Shower gel?,"Yes, Shower gel (Shower gel) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Shower gel,Shower gel,Nahitaji Shower gel.,"Ndiyo, Shower gel (Shower gel) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Shower gel,Shower gel,Bei ya Shower gel ni kiasi gani?,"Bei ya Shower gel inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Shower gel,Shower gel,Can you recommend Shower gel?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Shower gel.
Personal Care and Beauty,Shower gel,Shower gel,Where can I find Shower gel?,You can find Shower gel under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Soap,Sabuni,What is Soap?,Soap (Sabuni) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Soap,Sabuni,Do you have Soap?,"Yes, Soap (Sabuni) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Soap,Sabuni,Nahitaji Sabuni.,"Ndiyo, Sabuni (Soap) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Soap,Sabuni,Bei ya Sabuni ni kiasi gani?,"Bei ya Sabuni inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Soap,Sabuni,Can you recommend Soap?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Soap.
Personal Care and Beauty,Soap,Sabuni,Where can I find Soap?,You can find Soap under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Toothpaste,Dawa ya meno,What is Toothpaste?,Toothpaste (Dawa ya meno) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Toothpaste,Dawa ya meno,Do you have Toothpaste?,"Yes, Toothpaste (Dawa ya meno) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Toothpaste,Dawa ya meno,Nahitaji Dawa ya meno.,"Ndiyo, Dawa ya meno (Toothpaste) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Toothpaste,Dawa ya meno,Bei ya Dawa ya meno ni kiasi gani?,"Bei ya Dawa ya meno inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Toothpaste,Dawa ya meno,Can you recommend Toothpaste?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Toothpaste.
Personal Care and Beauty,Toothpaste,Dawa ya meno,Where can I find Toothpaste?,You can find Toothpaste under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Toothbrush,Mswwaki,What is Toothbrush?,Toothbrush (Mswwaki) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Toothbrush,Mswwaki,Do you have Toothbrush?,"Yes, Toothbrush (Mswwaki) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Toothbrush,Mswwaki,Nahitaji Mswwaki.,"Ndiyo, Mswwaki (Toothbrush) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Toothbrush,Mswwaki,Bei ya Mswwaki ni kiasi gani?,"Bei ya Mswwaki inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Toothbrush,Mswwaki,Can you recommend Toothbrush?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Toothbrush.
Personal Care and Beauty,Toothbrush,Mswwaki,Where can I find Toothbrush?,You can find Toothbrush under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Shampoo,Shampoo,What is Shampoo?,Shampoo (Shampoo) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Shampoo,Shampoo,Do you have Shampoo?,"Yes, Shampoo (Shampoo) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Shampoo,Shampoo,Nahitaji Shampoo.,"Ndiyo, Shampoo (Shampoo) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Shampoo,Shampoo,Bei ya Shampoo ni kiasi gani?,"Bei ya Shampoo inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Shampoo,Shampoo,Can you recommend Shampoo?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Shampoo.
Personal Care and Beauty,Shampoo,Shampoo,Where can I find Shampoo?,You can find Shampoo under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Conditioner,Conditioner,What is Conditioner?,Conditioner (Conditioner) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Conditioner,Conditioner,Do you have Conditioner?,"Yes, Conditioner (Conditioner) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Conditioner,Conditioner,Nahitaji Conditioner.,"Ndiyo, Conditioner (Conditioner) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Conditioner,Conditioner,Bei ya Conditioner ni kiasi gani?,"Bei ya Conditioner inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Conditioner,Conditioner,Can you recommend Conditioner?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Conditioner.
Personal Care and Beauty,Conditioner,Conditioner,Where can I find Conditioner?,You can find Conditioner under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Hair oil,Mafuta ya nywele,What is Hair oil?,Hair oil (Mafuta ya nywele) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Hair oil,Mafuta ya nywele,Do you have Hair oil?,"Yes, Hair oil (Mafuta ya nywele) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Hair oil,Mafuta ya nywele,Nahitaji Mafuta ya nywele.,"Ndiyo, Mafuta ya nywele (Hair oil) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Hair oil,Mafuta ya nywele,Bei ya Mafuta ya nywele ni kiasi gani?,"Bei ya Mafuta ya nywele inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Hair oil,Mafuta ya nywele,Can you recommend Hair oil?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Hair oil.
Personal Care and Beauty,Hair oil,Mafuta ya nywele,Where can I find Hair oil?,You can find Hair oil under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Hair food,Hair food,What is Hair food?,Hair food (Hair food) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Hair food,Hair food,Do you have Hair food?,"Yes, Hair food (Hair food) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Hair food,Hair food,Nahitaji Hair food.,"Ndiyo, Hair food (Hair food) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Hair food,Hair food,Bei ya Hair food ni kiasi gani?,"Bei ya Hair food inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Hair food,Hair food,Can you recommend Hair food?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Hair food.
Personal Care and Beauty,Hair food,Hair food,Where can I find Hair food?,You can find Hair food under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Hair extensions,Nywele za bandia,What is Hair extensions?,Hair extensions (Nywele za bandia) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Hair extensions,Nywele za bandia,Do you have Hair extensions?,"Yes, Hair extensions (Nywele za bandia) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Hair extensions,Nywele za bandia,Nahitaji Nywele za bandia.,"Ndiyo, Nywele za bandia (Hair extensions) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Hair extensions,Nywele za bandia,Bei ya Nywele za bandia ni kiasi gani?,"Bei ya Nywele za bandia inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Hair extensions,Nywele za bandia,Can you recommend Hair extensions?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Hair extensions.
Personal Care and Beauty,Hair extensions,Nywele za bandia,Where can I find Hair extensions?,You can find Hair extensions under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Wigs,Wigi,What is Wigs?,Wigs (Wigi) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Wigs,Wigi,Do you have Wigs?,"Yes, Wigs (Wigi) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Wigs,Wigi,Nahitaji Wigi.,"Ndiyo, Wigi (Wigs) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Wigs,Wigi,Bei ya Wigi ni kiasi gani?,"Bei ya Wigi inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Wigs,Wigi,Can you recommend Wigs?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Wigs.
Personal Care and Beauty,Wigs,Wigi,Where can I find Wigs?,You can find Wigs under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Makeup,Vipodozi,What is Makeup?,Makeup (Vipodozi) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Makeup,Vipodozi,Do you have Makeup?,"Yes, Makeup (Vipodozi) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Makeup,Vipodozi,Nahitaji Vipodozi.,"Ndiyo, Vipodozi (Makeup) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Makeup,Vipodozi,Bei ya Vipodozi ni kiasi gani?,"Bei ya Vipodozi inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Makeup,Vipodozi,Can you recommend Makeup?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Makeup.
Personal Care and Beauty,Makeup,Vipodozi,Where can I find Makeup?,You can find Makeup under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Foundation,Foundation,What is Foundation?,Foundation (Foundation) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Foundation,Foundation,Do you have Foundation?,"Yes, Foundation (Foundation) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Foundation,Foundation,Nahitaji Foundation.,"Ndiyo, Foundation (Foundation) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Foundation,Foundation,Bei ya Foundation ni kiasi gani?,"Bei ya Foundation inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Foundation,Foundation,Can you recommend Foundation?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Foundation.
Personal Care and Beauty,Foundation,Foundation,Where can I find Foundation?,You can find Foundation under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Lipstick,Lipstick,What is Lipstick?,Lipstick (Lipstick) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Lipstick,Lipstick,Do you have Lipstick?,"Yes, Lipstick (Lipstick) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Lipstick,Lipstick,Nahitaji Lipstick.,"Ndiyo, Lipstick (Lipstick) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Lipstick,Lipstick,Bei ya Lipstick ni kiasi gani?,"Bei ya Lipstick inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Lipstick,Lipstick,Can you recommend Lipstick?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Lipstick.
Personal Care and Beauty,Lipstick,Lipstick,Where can I find Lipstick?,You can find Lipstick under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Nail polish,Rangi ya kucha,What is Nail polish?,Nail polish (Rangi ya kucha) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Nail polish,Rangi ya kucha,Do you have Nail polish?,"Yes, Nail polish (Rangi ya kucha) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Nail polish,Rangi ya kucha,Nahitaji Rangi ya kucha.,"Ndiyo, Rangi ya kucha (Nail polish) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Nail polish,Rangi ya kucha,Bei ya Rangi ya kucha ni kiasi gani?,"Bei ya Rangi ya kucha inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Nail polish,Rangi ya kucha,Can you recommend Nail polish?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Nail polish.
Personal Care and Beauty,Nail polish,Rangi ya kucha,Where can I find Nail polish?,You can find Nail polish under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Sanitary pads,Pedi,What is Sanitary pads?,Sanitary pads (Pedi) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Sanitary pads,Pedi,Do you have Sanitary pads?,"Yes, Sanitary pads (Pedi) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Sanitary pads,Pedi,Nahitaji Pedi.,"Ndiyo, Pedi (Sanitary pads) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Sanitary pads,Pedi,Bei ya Pedi ni kiasi gani?,"Bei ya Pedi inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Sanitary pads,Pedi,Can you recommend Sanitary pads?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Sanitary pads.
Personal Care and Beauty,Sanitary pads,Pedi,Where can I find Sanitary pads?,You can find Sanitary pads under the Personal Care and Beauty category. The agent can help compare available options.
Personal Care and Beauty,Baby diapers,Diapers za watoto,What is Baby diapers?,Baby diapers (Diapers za watoto) is available under the Personal Care and Beauty category.
Personal Care and Beauty,Baby diapers,Diapers za watoto,Do you have Baby diapers?,"Yes, Baby diapers (Diapers za watoto) can be searched in the Personal Care and Beauty category."
Personal Care and Beauty,Baby diapers,Diapers za watoto,Nahitaji Diapers za watoto.,"Ndiyo, Diapers za watoto (Baby diapers) ipo kwenye category ya Personal Care and Beauty."
Personal Care and Beauty,Baby diapers,Diapers za watoto,Bei ya Diapers za watoto ni kiasi gani?,"Bei ya Diapers za watoto inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Personal Care and Beauty,Baby diapers,Diapers za watoto,Can you recommend Baby diapers?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Baby diapers.
Personal Care and Beauty,Baby diapers,Diapers za watoto,Where can I find Baby diapers?,You can find Baby diapers under the Personal Care and Beauty category. The agent can help compare available options.
Household Products,Laundry detergent,Sabuni ya kufulia,What is Laundry detergent?,Laundry detergent (Sabuni ya kufulia) is available under the Household Products category.
Household Products,Laundry detergent,Sabuni ya kufulia,Do you have Laundry detergent?,"Yes, Laundry detergent (Sabuni ya kufulia) can be searched in the Household Products category."
Household Products,Laundry detergent,Sabuni ya kufulia,Nahitaji Sabuni ya kufulia.,"Ndiyo, Sabuni ya kufulia (Laundry detergent) ipo kwenye category ya Household Products."
Household Products,Laundry detergent,Sabuni ya kufulia,Bei ya Sabuni ya kufulia ni kiasi gani?,"Bei ya Sabuni ya kufulia inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Household Products,Laundry detergent,Sabuni ya kufulia,Can you recommend Laundry detergent?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Laundry detergent.
Household Products,Laundry detergent,Sabuni ya kufulia,Where can I find Laundry detergent?,You can find Laundry detergent under the Household Products category. The agent can help compare available options.
Household Products,Bar soap,Sabuni ya kipande,What is Bar soap?,Bar soap (Sabuni ya kipande) is available under the Household Products category.
Household Products,Bar soap,Sabuni ya kipande,Do you have Bar soap?,"Yes, Bar soap (Sabuni ya kipande) can be searched in the Household Products category."
